French Sentence,English Translation,POS Sequence,Dependency Sequence,Valence,Relative Position
"Malgré les défis, l'espoir persiste.","Despite the challenges, hope persists.",ADP DET NOUN PUNCT DET NOUN VERB PUNCT,"persiste-obl-défis,défis-det-les,défis-case-malgré,persiste-nsubj-espoir,espoir-det-l'",0.8,3
La résilience est une force intérieure.,Resilience is an inner strength.,DET NOUN AUX DET NOUN ADJ PUNCT,"est-nsubj-résilience,est-cop-est,est-obj-force,force-det-une,force-amod-intérieure,résilience-det-la",0.9,2
Chaque aube apporte de nouvelles promesses.,Every dawn brings new promises.,DET NOUN VERB ADP ADJ NOUN PUNCT,"apporte-nsubj-aube,apporte-obj-promesses,promesses-det-de nouvelles,aube-det-chaque",0.7,2
Nous surmonterons cette épreuve ensemble.,We will overcome this ordeal together.,PRON VERB DET NOUN ADV PUNCT,"surmonterons-nsubj-nous,surmonterons-obj-épreuve,épreuve-det-cette,surmonterons-advmod-ensemble",0.8,2
La lumière brille toujours après l'obscurité.,Light always shines after darkness.,DET NOUN VERB ADV ADP DET NOUN PUNCT,"brille-nsubj-lumière,brille-advmod-toujours,brille-obl-obscurité,obscurité-det-l',lumière-det-la,obscurité-case-après l'",0.7,2
Ne perdez jamais courage.,Never lose courage.,ADV VERB ADV NOUN PUNCT,"perdez-advmod-jamais,perdez-obj-courage",0.9,2
Les temps difficiles révèlent notre force.,Hard times reveal our strength.,DET NOUN ADJ VERB DET NOUN PUNCT,"révèlent-nsubj-temps,temps-amod-difficiles,révèlent-obj-force,force-det-notre,temps-det-les",0.6,3
L'espoir est le pilier de l'âme.,Hope is the pillar of the soul.,DET NOUN AUX DET NOUN ADP DET NOUN PUNCT,"est-nsubj-espoir,est-cop-est,est-obj-pilier,pilier-det-le,pilier-nmod-âme,âme-det-l',espoir-det-l'",0.9,2
Croyez en vous-même et en vos capacités.,Believe in yourself and in your abilities.,VERB ADP PRON CCONJ ADP DET NOUN PUNCT,"croyez-obl-vous-même,croyez-obl-capacités,capacités-det-vos,vous-même-case-en,capacités-case-en",0.8,1
Le futur est plein de possibilités.,The future is full of possibilities.,DET NOUN AUX ADJ ADP NOUN PUNCT,"est-nsubj-futur,est-cop-est,est-amod-plein,plein-obl-possibilités,possibilités-case-de,futur-det-le",0.7,2
La persévérance mène au succès.,Perseverance leads to success.,DET NOUN VERB ADP DET NOUN PUNCT,"mène-nsubj-persévérance,mène-obl-succès,succès-det-au,persévérance-det-la",0.9,2
Après la tempête vient le calme.,After the storm comes the calm.,ADP DET NOUN VERB DET NOUN PUNCT,"vient-obl-tempête,tempête-det-la,vient-nsubj-calme,calme-det-le,tempête-case-après la",0.6,3
"Gardez la foi, tout ira bien.","Keep faith, everything will be fine.",VERB DET NOUN PUNCT PRON VERB ADV PUNCT,"gardez-obj-foi,foi-det-la,ira-nsubj-tout,ira-advmod-bien",0.8,1
Les défis nous rendent plus forts.,Challenges make us stronger.,DET NOUN PRON VERB ADV ADJ PUNCT,"rendent-nsubj-défis,rendent-iobj-nous,rendent-advmod-plus,rendent-amod-forts,défis-det-les",0.7,3
"Un nouveau jour, une nouvelle chance.","A new day, a new chance.",DET ADJ NOUN PUNCT DET ADJ NOUN PUNCT,"jour-det-un,jour-amod-nouveau,chance-det-une,chance-amod-nouvelle",0.7,0
L'espoir est une flamme qui ne s'éteint jamais.,Hope is a flame that never goes out.,DET NOUN AUX DET NOUN PRON VERB ADV PUNCT,"est-nsubj-espoir,est-cop-est,est-obj-flamme,flamme-det-une,éteint-nsubj-qui,éteint-obj-se,éteint-advmod-jamais",0.8,2
Nous sommes capables de grandes choses.,We are capable of great things.,PRON AUX ADJ ADP ADJ NOUN PUNCT,"sommes-nsubj-nous,sommes-cop-sommes,sommes-amod-capables,capables-obl-choses,choses-amod-grandes,choses-case-de",0.9,2
La force est en nous.,Strength is within us.,DET NOUN AUX ADP PRON PUNCT,"est-nsubj-force,est-cop-est,est-obl-nous,force-det-la,nous-case-en",0.8,2
Le courage vient du cœur.,Courage comes from the heart.,DET NOUN VERB ADP DET NOUN PUNCT,"vient-nsubj-courage,vient-obl-cœur,cœur-det-du,courage-det-le",0.7,2
La foi déplace les montagnes.,Faith moves mountains.,DET NOUN VERB DET NOUN PUNCT,"déplace-nsubj-foi,déplace-obj-montagnes,montagnes-det-les,foi-det-la",0.9,2
Chaque pas compte vers l'objectif.,Every step counts towards the goal.,DET NOUN VERB ADP DET NOUN PUNCT,"compte-nsubj-pas,compte-obl-objectif,objectif-det-l',pas-det-chaque,objectif-case-vers l'",0.7,2
Le soleil se lève toujours.,The sun always rises.,DET NOUN PRON VERB ADV PUNCT,"lève-nsubj-soleil,lève-obj-se,lève-advmod-toujours,soleil-det-le",0.8,2
La volonté est la clé du succès.,Willpower is the key to success.,DET NOUN AUX DET NOUN ADP DET NOUN PUNCT,"est-nsubj-volonté,est-cop-est,est-obj-clé,clé-det-la,clé-nmod-succès,succès-case-du,volonté-det-la",0.9,2
Les rêves peuvent devenir réalité.,Dreams can become reality.,DET NOUN AUX VERB NOUN PUNCT,"peuvent-nsubj-rêves,peuvent-xcomp-devenir,devenir-obj-réalité,rêves-det-les",0.8,2
N'abandonnez jamais vos rêves.,Never give up on your dreams.,ADV VERB ADV DET NOUN PUNCT,"abandonnez-advmod-jamais,abandonnez-obj-rêves,rêves-det-vos",0.9,2
"Le chemin est long, mais la destination vaut la peine.","The path is long, but the destination is worth it.",DET NOUN AUX ADJ PUNCT CCONJ DET NOUN AUX DET NOUN PUNCT,"est-nsubj-chemin,est-cop-est,est-amod-long,vaut-nsubj-destination,vaut-obj-peine,chemin-det-le,destination-det-la,peine-det-la",0.7,3
La persévérance est une vertu.,Perseverance is a virtue.,DET NOUN AUX DET NOUN PUNCT,"est-nsubj-persévérance,est-cop-est,est-obj-vertu,vertu-det-une,persévérance-det-la",0.9,2
Il y a toujours une lueur d'espoir.,There is always a glimmer of hope.,PRON VERB ADV DET NOUN ADP NOUN PUNCT,"a-nsubj-il,a-advmod-toujours,a-obj-lueur,lueur-det-une,lueur-nmod-espoir,espoir-case-d'",0.8,2
